,cur,est,actual,,,,,
2018-03-15,41100,40696.785,41350,653.2148438,403.215,-250,0,1
2018-03-16,41350,40960.207,41250,289.7929688,389.793,100,0,0
2018-03-19,41250,40884.555,40450,434.5546875,365.445,800,0,0
2018-03-20,40450,40087.58,39300,787.578125,362.42,1150,0,0
2018-03-21,39300,38979.07,39700,720.9296875,320.93,-400,0,1
2018-03-22,39700,39427.484,38500,927.484375,272.516,1200,0,0
2018-03-23,38500,38382.844,38500,117.15625,117.156,0,0,0
2018-03-26,38500,38406.664,39850,1443.335938,93.336,-1350,0,1
2018-03-27,39850,39532.92,39600,67.078125,317.08,250,0,0
2018-03-28,39600,39480.176,39350,130.1757813,119.824,250,0,0
2018-03-29,39350,39183.766,39150,33.765625,166.234,200,0,0
2018-03-30,39150,38927.043,38750,177.0429688,222.957,400,0,0
2018-04-02,38750,38444.156,39400,955.84375,305.844,-650,0,1
2018-04-03,39400,38803.418,38200,603.4179688,596.582,1200,0,0
2018-04-04,38200,38081.58,38650,568.421875,118.42,-450,0,1
2018-04-05,38650,38320.45,38650,329.5507813,329.55,0,0,0
2018-04-06,38650,38270.832,38900,629.1679688,379.168,-250,0,1
2018-04-09,38900,38502.383,39100,597.6171875,397.617,-200,0,1
2018-04-10,39100,38771.66,39850,1078.339844,328.34,-750,0,1
2018-04-11,39850,39538.29,38950,588.2890625,311.71,900,0,0
2018-04-12,38950,38796.566,39650,853.4335938,153.434,-700,0,1
2018-04-13,39650,39117.605,38850,267.6054688,532.395,800,0,0
2018-04-16,38850,38652.234,38650,2.234375,197.766,200,0,0
2018-04-17,38650,38351.34,40100,1748.660156,298.66,-1450,0,1
2018-04-18,40100,39518.016,40100,581.984375,581.984,0,0,0
2018-04-19,40100,39937.703,41250,1312.296875,162.297,-1150,0,1
2018-04-20,41250,40586.63,41050,463.3710938,663.37,200,0,0
2018-04-23,41050,40666.766,41100,433.234375,383.234,-50,0,1
2018-04-24,41100,40727.68,40300,427.6796875,372.32,800,0,0
2018-04-25,40300,40099.36,40450,350.640625,200.64,-150,0,1
2018-04-26,40450,40295.266,40050,245.265625,154.734,400,0,0
2018-04-27,40050,39900.66,39950,49.33984375,149.34,100,0,0
2018-04-30,39950,39820.637,39400,420.6367188,129.363,550,0,0
2018-05-02,39400,39112.2,39200,87.80078125,287.8,200,0,0
2018-05-03,39200,38865.652,38500,365.6523438,334.348,700,0,0
2018-05-04,38500,38202.227,39200,997.7734375,297.773,-700,0,1
2018-05-08,39200,38879.832,39350,470.1679688,320.168,-150,0,1
2018-05-09,39350,39095.3,39400,304.6992188,254.7,-50,0,1
2018-05-10,39400,39122.977,41050,1927.023438,277.023,-1650,0,1
2018-05-11,41050,40298.93,41950,1651.070313,751.07,-900,0,1
2018-05-14,41950,41611.8,41300,311.8007813,338.2,650,0,0
2018-05-15,41300,40958.67,39700,1258.671875,341.33,1600,0,0
2018-05-16,39700,39281.742,38750,531.7421875,418.258,950,0,0
2018-05-17,38750,38421.062,39000,578.9375,328.938,-250,0,1
2018-05-18,39000,38902.504,38300,602.5039063,97.496,700,0,0
2018-05-21,38300,38392.133,37100,1292.132813,-92.133,1200,1,0
2018-05-23,37100,37194.613,36550,644.6132813,-94.613,550,1,0
2018-05-24,36550,36371.984,36400,28.015625,178.016,150,0,0
2018-05-25,36400,36203.438,36750,546.5625,196.562,-350,0,1
2018-05-28,36750,36442.664,36850,407.3359375,307.336,-100,0,1
2018-05-29,36850,36708.96,35800,908.9609375,141.04,1050,0,0
2018-05-30,35800,35652.42,36000,347.578125,147.58,-200,0,1
2018-05-31,36000,35371.805,35950,578.1953125,628.195,50,0,0
2018-06-01,35950,35510.793,35550,39.20703125,439.207,400,0,0
2018-06-04,35550,35310.49,35550,239.5117188,239.51,0,0,0
2018-06-05,35550,34987.74,36650,1662.261719,562.26,-1100,0,1
2018-06-07,36650,36092.12,36350,257.8789063,557.88,300,0,0
2018-06-08,36350,36202.56,36650,447.4414063,147.44,-300,0,1
2018-06-11,36650,36269.13,36100,169.1289063,380.87,550,0,0
